Svensk Handel Systembolaget: 2017 – 2020 - 2017,svensk-handel-systembolaget-2017-2020,Sweden,sv,2017
SWE Svensk Handel - 2017,kollektivavtal-mellan-ena-sidan-svensk-handel-och-andra-sidan-handelsanst-lldas-f-rbund-avseende-lager-och-e-handel,Sweden,sv,2017
SWE Svensk Handel - 2017,avtal-mellan-svensk-handel-och-handelsanst-lldas-f-rbund-1-april-2017-31-december-2019,Sweden,sv,2017
SWE Svensk Handel - 2017,avtal-mellan-svensk-handel-och-handelsanst-lldas-f-rbund-detaljhandel---1-april-2017-31-mars-2020,Sweden,sv,2017
Unionen_Svensk Handel_Tjänstemän inom detaljhandeln_2016-2017_avtalstryck - 2016,unionen_svensk-handel_tja-nstema-n-inom-detaljhandeln_2016-2017_avtalstryck,Sweden,sv,2016
Tjänstemannavtal 265_avtalstryck_2016-2017_SvenskHandel_Unionen - 2016,tja-nstemannavtal-265_avtalstryck_2016-2017_svenskhandel_unionen,Sweden,sv,2016
KOLLEKTIVAVTAL mellan a ena sidan svensk handel och a andra sidan HANDELSANSTALLDAS FORBUND avseende NO 2016-17,kollektivavtal-mellan-a-ena-sidan-svensk-handel-och-a-andra-sidan-handelsanstalldas-forbund-avseende-no-2016-17,Sweden,sv,2016
KOLLEKTIVAVTAL mellan a ena sidan SVENSK HANDEL och a andra sidan HANDELSANSTALLDAS FORBUND avseende lagerpersonaloch chaufforer inom partihandeln,kollektivavtal-mellan-a-ena-sidan-svensk-handel-och-a-andra-sidan-handelsanstalldas-forbund-avseende-lagerpersonaloch-chaufforer-inom-partihandeln-2016-17,Sweden,sv,2016
KOLLEKTIVAVTAL mellan a ena sidan SVENSK HANDEL och a andra sidan HANDELSANSTÄLLDAS FÖRBUND avseende lagerpersonal vid postorder och e-handelsföretag 2016-17,kollektivavtal-mellan-a-ena-sidan-svensk-handel-och-a-andra-sidan-handelsanst-lldas-f-rbund-avseende-lagerpersonal-vid-postorder-och-e-handelsf-retag-2016-17,Sweden,sv,2016
TUR Türkiye Elektrik Dağıtım Anonim Şirketi (TEDAŞ) - 2017,teda-t-rk-ye-elektr-k-da-itim-a-genel-m-d-rl-ve-ba-li-yerler-n-ba-itlanan---2017,Turkey,tr,2017
GRUP TOPLU IŞ SÖZLEŞMESİ - 2018 - 2018,grup-toplu-i-s-zle-mes---2018,Turkey,tr,2018
TUR İLLER BANKASI A.Ş. - 2017,tes--t-rk-ye-enerj-su-ve-gaz-ler-send-kasi-le-kamu--kamu-letmeler-verenler-send-kasi-arasinda-ller-bankasi-a---2017,Turkey,tr,2017
TUR DHL LOJİSTİK HİZMETLERİ A.Ş - 2018,dhl-loj-st-k-h-zmetler-a-le-t-mt-s-t-m-ta-ima-ler-send-kasi---2018,Turkey,tr,2018
TUR MS İSTANBUL İÇ VE DIŞ TİCARET LTD - 2016,ms-stanbul-ve-di-t-caret-l-m-ted-rket-ve-ba-li-yerler-letme-toplu-s-zle-mes---2016,Turkey,tr,2016
