cba_id,overtime_trig,annuleav_trig,N_ALs,comp_scores
collective-bargaining-agreement-cba-on-salaries-and-wages-between-signatory-members-of-uganda-flower-exporters-association-and-uganda-horticultural-and-allied-workers-union-uhawu---2012,0,0,1,2.33
collective-bargaining-agreement-cba-on-salaries-and-wages-between-signatory-members-of-uganda-flower-exporters-association-and-uganda-horticultural-and-allied-workers-union-uhawu---2011,0,0,0,1
collective-bargaining-agreement-cba-on-salaries-and-wages-between-signatory-members-of-uganda-flower-exporters-association-and-uganda-horticultural-and-allied-workers-union-uhawu---2013,0,0,0,1
collective-bargaining-agreement-between-rene-industries-limited-and-uganda-chemical-and-petroleum-workers-union-ucpawu---2014,1,1,1,5
collective-bargaining-agreement-cba-between-signatory-members-of-uganda-flower-exporters-association-and-uganda-horticultural-and-allied-workers-union-uhawu---2010,1,1,0,3.67
collective-bargaining-agreement-between-uganda-breweries-ltd-and-uganda-beverages-tobacco-and-allied-workers-union-ubtawu---2014,1,1,0,3.67
revised-terms-and-conditions-of-service-agreement-between-national-union-of-clerical-commercial-professional-and-technical-employees-and-the-cooper-motor-corporation-u-ltd---2016,1,1,0,3.67
collective-bargaining-agreement-between-laico-lake-victoria-hotel-entebbe-and-uganda-hotels-food-tourism-supermarkets-allied-workers-union-hts--union---2016,0,1,0,2.33
terms-and-conditions-of-service-agreement-between-national-union-of-clerical-commercial-professional-and-technical-employees-and-uganda-national-cultural-centre---2015,1,1,0,3.67
agreement-between-uganda-beverage-tobacco-and-allied-workers-union-ubwatu-and-nile-breweries-u-ltd---2015,1,1,0,3.67
collective-bargaining-agreement-c-b-a-between-dhl-supply-chain-international-limited-and-uganda-beverage-tobacco-allied-workers-union---2015,1,1,1,5
recognition-and-negotiation-agreement-between-members-of-uganda-flowers-exporters-association-ufea-and-uganda-horticultural-industrial-service-providers-and-allied-workers-union-uhispawu--2017,0,0,0,1
collective-bargaining-agreement-between-scania-tanziania-limited-and-tanzania-union-of-industrial-and-commercial-workers-tuico-,0,1,0,2.33
collective-bargaining-agreement-between-tanzania-mines-energy-construction-and-allied-workers-union-tamico-and-the-management-midwest-minerals-processor-limited,1,1,0,3.67
collective-bargaining-agreement-between-millennium-challenge-corporation-limited-and-communication-and-transport-workers-union-tanzania,1,1,0,3.67
memorundum-of-agreement-between-conservation-hotel-domestic-and-allied-workers-union-chodawu-lsg-sky-chefs--branch-and-the-management-of-lsg-sky-chefs,1,0,0,2.33
collective-bargaining-agreement-2013-between-tanzania-union-of-industrial-and-commercial-workers-field-branch-of-tpcc-and-tanzania-portland-cement-company,0,1,1,3.67
the-collective-bargaining-agreement-between-tpc-limited-and-tanzania-social-services-industry-workers-union-tasiwu-,1,1,0,3.67
collective-bargaining-agreement-cba-concluded-between-the-tea-association-of-tanzania-tat-and-the-tanzania-plantation-and-agricultural-workers-union-tpawu-,1,1,1,5
collective-bargaining-agreement-between-tanzania-mines-energy-costruction-and-allied-workers-union-tamico-and-tanzaniteone-mining-ltd,1,1,0,3.67
collective-bargaining-agreement-between-sbc-tanzania-limited-and-tanzania-union-of-industry-and-commercial-workers-tuico-,1,1,0,3.67
recognition-agreement-entered-between-strabarg-international-gmbh-the-employer-and-tanzania-mines-energy-construction-and-allied-workers-union-tamico-the-union-,0,0,0,1
mkataba-wa-utambuzi-na-hali-bora-za-kazi-baina-ya-chama-cha-mawasiliano-na-uchukuzi-tanzania-cotwu-t-na-kampuni-ya-smb-nyehunge-express,1,1,1,5
mkataba-wa-hali-bora-wa-kazi-baina-ya-tuico-na-said-salim-bakhresa-co-ltd-,0,1,0,2.33
mapendekezo-ya-mkataba-wa-hali-bora-baina-ya-tuico-na-mwajiri-nyanza-bottling-co-ltd-tuico-2013,0,1,0,2.33
collective-bargaining-agreement-between-east-african-elevator-company-limited-and-communication-and-transport-worker-s-union-of-tanzania,1,1,0,3.67
collective-bargaining-agreement-between-mofed-tanzania-company-limited-and-communication-and-transport-worker-s-union-of-tanzania,0,1,0,2.33
mkataba-wa-hiari-wa-hali-bali-bora-kati-mwauwasa-na-tughe-,0,1,0,2.33
mkataba-wa-makubaliano-baina-ya-kampuni-ya-reli-tanzania-trl-na-chama-cha-wafanyakazi-wa-reli-tanzania-trawu-,1,1,0,3.67
collective-bargaining-agreement-between-conservation-hotels-domestic-social-services-and-consultancy-workers-union-chodawu-and-southern-sun-dar-es-salaam,0,1,0,2.33
collective-bargaining-agreement-between-conservation-hotel-domestic-and-allied-workers-union-chodawu-and-the-management-of-asb-tanzania-limited-t-a-hyatt-regency-dar-es-salaam-the-kilimanjaro,1,1,0,3.67
collective-bargaining-agreement-including-the-terms-and-conditions-of-service-between-cordura-ltd-and-conservation-hotels-domestic-social-services-consultancy-workers-union-chodawu---2014,0,1,0,2.33
collective-bargaining-agreement-between-serengeti-baloon-safaris-and-conservation-hotels-domestic-social-services-and-consultancy-workers-union-chodawu---2014,1,1,1,5
collective-bargaining-agreement-between-tourism-public-relations-services-ltd-tprs-and-conservation-hotels-domestic-social-services-and-consultancy-workers-union-chodawu---2014,1,1,0,3.67
collective-agreement-between-kiliflora-limited-and-tanzania-plantation-and-agricultural-workers-union-tpawu---2015,1,1,0,3.67
collective-bargaining-agreement-between-lsg-sky-chefs-branch-and-the-management-of-lsg-sky-chefs-and-conservation-hotels-domestic-and-social-services-union-chodawu---2014,0,1,0,2.33
mkataba-wa-hali-bom-ya-kazi-hifadhi-za-taifa-tanzania-tanapa-na-chodawu---2014,1,1,0,3.67
voluntary-agreement-between-kagera-sugar-limited-and-tanzania-plantation-and-agricultural-workers-union-tpawu---2015,1,1,0,3.67
mkataba-wa-hiari-na-hali-bora-za-kazi-baina-ya-green-resources-limited-grl-tanzania-plantation-and-agricultural-workers-union-tpawu---2016,0,0,0,1
mkataba-wa-hiari-wa-hali-bora-za-wafanyakazi-kati-ya-chama-kikuu-cha-ushirika-cha-wakulima-wa-tumbaku-kanda-ya-magharibi-wetcu-ltd-na-chama-cha-wafanyakazi-mashambani-na-kilimo-tanzania-tpawu---2012,1,1,0,3.67
mkataba-wa-hali-bora-kati-ya-chama-cha-wafanyakazi-wa-mashambani-na-kilimo-tanzania-tpawu-na-african-plantations-kilimanjaro-limited-apkl---2014,1,1,0,3.67
collective-bargaining-agreement-between-mofed-tanzania-limited-and-communications-and-transport-workers-union-of-tanzania-cotwu-t---2014,1,1,0,3.67
collective-agreement-between-tazama-pipelines-limited-and-the-communications-transport-worker-s-union-of-tanzania-cotwu-t-and-the-national-union-of-transport-allied-worker-nutaw-of-zambia---2013,1,1,0,3.67
collective-bargaining-agreement-between-communications-and-transport-workers-union--tanzania-cotwu-t-and-swissport-tanzania-plc---2014,0,1,0,2.33
collective-bargaining-contract-between-mcc-limited-and-communication-and-transport-workers-union---2014,1,1,0,3.67
sample-collective-bargaining-agreement-created-by-wageindicator-foundation--2016-,1,1,0,3.67
regulamentacao-colectiva-do-trabalho-greif,0,0,1,2.33
acordo-de-empresa-entre-empresa-mo-ambicana-de-seguros-sa-e-os-trabalhadores-ao-seu-servi-o,1,1,0,3.67
acordo-de-empresa-do-ramo-de-refrigerantes-da-coca-cola-sabco-mo-s-a-r-l,1,1,0,3.67
acordo-da-empresa-visa-seguran-a,1,0,0,2.33
deposito-do-acordo-colectivo-de-trabalho-de-hotel-monte-carlo,0,0,0,1
acordo-colectivo-de-trabalho-entre-sindicato-nacional-dos-empregados-bancairios-e-as-institui-es-financeiras-da-rep-blica-de-mo-ambique---2010,1,1,1,5
acordo-colectivo-de-empresa--sos--sistema-de-opera-es-e-seguran-a-sarl---2013,1,1,0,3.67
acordo-de-empresa-entre-kempe-engineering-limitada-y-sindicato-nacional-dos-trabalhadores-da-industria-metalurgica---2010,1,1,0,3.67
acordo-de-empresa-entre-sind-cato-nacional-dos-profissionais-de-estiva-e-of-cios-correlativos-sinpeoc-e-companhia-de-desenvolvimento-do-porto-de-maputo-mpdc---2015,1,1,0,3.67
acordo-de-empresa-ae-entre-empresa-mo-ambique-celular-mcel-sarl-e-os-trabalhadores-ao-servi-o-desta---2009,0,0,1,2.33
estrutura-do-acordo-colectivo-de-trabalho---matanusca-mozambique-lda---2016,0,1,0,2.33
recognition-agreement-between-sunbird-tourism-limited-and-the-hotel-food-processing-and-catering-workers-union,0,1,0,2.33
collective-bargaining-agreement-between-water-boards-and-water-employees-trade-union-of-malawi---2014,0,0,0,1
collective-bargaining-agreement-between-nu-tread-as-company-and-transport-general-workers-union-as-trade-union-representing-the-workers-on-basic-wage-negotiation---2016,0,0,0,1
2011---kenya---afro-plastics-kenya-ltd,1,1,0,3.67
collective-bargaining-agreement-between-alpha-fine-foods-limited-and-kenya-union-of-commercial-food-and-allied-workers,1,1,0,3.67
collective-bargaining-agreement-between-general-motors-east-africa-ltd-and-amalgamated-union-of-kenya-metal-workers,1,1,0,3.67
collective-bargaining-agreement-on-terms-and-conditions-of-service-for-unionisable-employees-between-communication-workers-union-of-kenya-cowu-k-and-telkom-kenya-limited-,1,1,0,3.67
memorandum-of-agreement-between-dunlop-industries-limited-and-kenya-chemical-and-allied-workers-union,1,1,1,5
memorandum-of-agreement-between-deluxe-inks-limited-and-kenya-chemcial-and-allied-workers-union-,1,1,0,3.67
memorandum-of-agreement-between-fox-theatres-ltd-springfield-properties-ltd-thika-road-properties-ltd-and-queensway-properties-limited-and-the-kenya-union-of-commercial-food-and-allied-workers,1,1,1,5
memorandum-of-agreement-between-kentainers-limited-and-kenya-chemical-and-allied-workers-union-,1,1,0,3.67
memorandum-of-agreement-between-kenya-seed-company-limited-together-with-deacons-k-limited-allied-industries-and-kenya-union-of-commercial-food-and-allied-workers-k-u-c-f-a-w-,1,1,0,3.67
medivet-products-limited-and-kenya-chemical-and-allied-workers-union,1,1,0,3.67
memorandum-of-agreement-between-pelican-signs-limited-and-amalgamated-union-of-kenya-metal-workers-,1,1,1,5
memorandum-of-agreement-on-terms-and-conditions-of-service-between-ensing-autos-limited-and-kenya-union-of-commercial-food-and-allied-workers,1,1,0,3.67
memorandum-of-agreement-between-nationwide-electrical-industries-limited-and-amalgamated-union-of-kenya-metal-workers,1,1,0,3.67
memorandum-of-agreement-between-wildlife-safari-kenya-limited-and-kenya-game-hunting-and-safaris-workers-union-,1,1,0,3.67
