cba,language,readability,diveristy,accessibility
onb-r-nc-b-l-m-d-yanet-ve-vakif-h-zmet-koluna-l-k-n-toplu-s-zle-me,tr,1.33,2.25,1.86
yed-nc-b-l-m-bayindirlik-n-aat-ve-k-y-h-zmet-koluna-l-k-n-toplu-s-zle-me,tr,1.67,2.5,2.14
sek-z-nc-b-l-m-ula-tirma-h-zmet-koluna-l-k-n-toplu-s-zle-me,tr,2.33,3.25,2.86
-nc-b-l-m-sa-lik-ve-sosyal-h-zmet-koluna-l-k-n-toplu-s-zle-me,tr,2.0,3.0,2.57
onuncu-b-l-m-enerj-sanay-ve-madenc-l-k-h-zmet-koluna-l-k-n-toplu-s-zle-me,tr,2.0,3.0,2.57
-k-nc-b-l-m-e-t-m-ret-m-ve-b-l-m-h-zmet-koluna-l-k-n-toplu-s-zle-me,tr,1.0,2.75,2.0
altinci-b-l-m-k-lt-r-ve-sanat-h-zmet-koluna-l-k-n-toplu-s-zle-me,tr,1.0,2.5,1.86
british-council-e-t-m-h-zmetler-l-m-ted-rket-letme-toplu-s-zle-mes---2019,tr,4.67,3.25,3.86
aras-kargo-yurt-yurt-di-i-ta-imacilik-a-t-m-ta-ima-ler-send-kasi-t-mt-s-toplu-s-zle-mes---2018,tr,3.33,2.75,3.0
dokuzuncu-b-l-m-tarim-ve-ormancilik-h-zmet-koluna-l-k-n-toplu-s-zle-me,tr,1.0,2.75,2.0
public-service-stability-agreement---2018-2020,en,2.0,3.0,2.5
enel-global-framework-agreement-roma-14-giugno-2013,it,2.0,3.75,2.88
accordo-quadro-globale-sulle-relazioni-industriali-a-livello-internazionale-e-sulla-responsabilit-sociale-dell-impresa-di-eni-s-p-a-2019,it,2.0,3.25,2.62
ccnl-per-i-dipendenti-da-aziende-del-terziario-della-distribuzione-e-dei-servizi-2019,it,3.5,3.0,3.25
unicredit-joint-declaration-on-work-life-balance-2017,en,2.0,2.75,2.38
ccnl-per-il-personale-dipendente-da-societ-e-consorzi-concessionari-di-autostrade-e-trafori-2016,it,3.0,3.5,3.25
ccnl-per-i-dipendenti-delle-imprese-di-viaggi-e-turismo-2019-2020,it,3.5,3.0,3.25
ccnl-per-i-dipendenti-dell-industria-cineaudiovisiva-2018-2021,it,2.25,2.75,2.5
ccnl-logistica-trasporto-merci-e-spedizione-2013-2015,it,2.75,3.25,3.0
convenzione-europea-su-salute-e-sicurezza-del-gruppo-barilla-2017,it,2.0,3.75,2.88
generali-promotes-telework-between-assicurazioni-generali-s-p-a-and-the-european-works-council-of-the-generali-group-2017,en,2.0,3.25,2.62
ccnl-dirigenti-dipendenti-dalle-imprese-creditizie-finanziarie-e-strumentali-2015-2018,it,3.75,3.25,3.5
ccnl-dipendenti-imprese-artigiane-e-delle-piccole-e-medie-imprese-dell-area-comunicazione-2016-2018-html,it,2.75,3.0,2.88
ccnl-quadri-direttivi-e-per-il-personale-delle-aree-professionali-dipendenti-dalle-imprese-creditizie-finanziarie-e-strumentali-2015-2018,it,3.5,3.0,3.25
ccnl-universit-pontificie-e-facolt-ecclesiastiche-2017-2020,it,3.0,2.75,2.88
ccnl-settore-piccola-e-media-industria-legno-mobili-arredamento-sughero-forestale-2013-2016,it,2.25,2.5,2.38
